ticker,Date,vader_score,n_headlines,finbert_score
TSLA,2023-04-23,0.074,4,0.041870568
TSLA,2023-04-24,-0.017325,12,-0.08051624
TSLA,2023-04-25,0.08640834,12,0.1667422
TSLA,2023-04-26,0.07925,12,0.17064457
TSLA,2023-04-27,0.23915,12,0.12499976
TSLA,2023-04-28,0.0285,12,-0.037805777
TSLA,2023-04-29,0.37094998,6,0.13671112
TSLA,2023-04-30,-0.009350002,4,0.050350647
TSLA,2023-05-01,0.07565,12,0.09185312
TSLA,2023-05-02,0.05355833,12,-0.0851197
TSLA,2023-05-03,0.0011583319,12,-0.0049807527
TSLA,2023-05-04,0.21339999,11,0.07137989
TSLA,2023-05-05,0.17328,10,-0.027626216
TSLA,2023-05-06,0.044475,4,-0.12522022
TSLA,2023-05-07,0.0,1,0.10689634
TSLA,2023-05-08,0.047533333,12,-0.0057200543
TSLA,2023-05-09,0.071391664,12,-0.008896793
TSLA,2023-05-10,0.06638333,12,0.12675495
TSLA,2023-05-11,0.11875,12,0.16557461
TSLA,2023-05-12,0.28205833,12,0.16414057
TSLA,2023-05-13,0.39893332,3,0.21025757
TSLA,2023-05-14,0.23081999,5,0.13391282
TSLA,2023-05-15,0.034516666,12,-0.024824629
TSLA,2023-05-16,0.17369999,12,0.202636
TSLA,2023-05-17,0.038324997,12,0.088662714
TSLA,2023-05-18,0.08143,10,0.13349594
TSLA,2023-05-19,0.2766,12,0.1854238
TSLA,2023-05-20,0.3243,2,0.09547953
